Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular,Internet_Access,Parent_Education,Family_Income,Stress_Level (1-10)
S1020,Omar,Johnson,student20@univ.edu,Female,18,Business,68.21,44.2,79.85,66.51,65.7,85.0,85.99,65.0161,C,20.0,No,No,Bachelor's,High,3
S1021,John,Smith,student21@univ.edu,Female,23,Business,80.78,58.06,72.88,50.02,64.35,43.6,79.0,82.7353,D,14.6,Yes,No,High School,High,2
S1022,Liam,Davis,student22@univ.edu,Female,18,Business,83.64,53.48,51.95,51.22,62.24,48.0,92.49,53.6414,D,25.3,Yes,No,PhD,Medium,4
S1023,Ahmed,Johnson,student23@univ.edu,Male,24,Mathematics,88.92,53.13,88.25,84.8,73.23,56.2,95.87,56.0679,B,23.2,No,No,,High,9
S1024,Sara,Davis,student24@univ.edu,Female,19,CS,72.5,85.11,90.39,63.87,88.88,49.0,61.96,71.9936,C,9.6,No,No,,Low,3
S1025,Ahmed,Brown,student25@univ.edu,Female,23,Business,85.32,43.85,64.46,77.13,70.79,21.5,71.01,95.2419,F,26.7,Yes,No,PhD,Low,6
S1026,Liam,Smith,student26@univ.edu,Female,22,Business,74.41,56.38,69.14,69.44,83.44,80.0,86.21,92.0253,B,27.5,Yes,No,,High,1
S1027,Maria,Johnson,student27@univ.edu,Female,19,CS,59.09,55.61,59.64,72.73,66.88,88.1,63.91,97.5602,D,10.1,Yes,No,Master's,High,9
S1028,Omar,Jones,student28@univ.edu,Male,23,Mathematics,89.06,79.11,85.25,97.48,59.97,3.0,57.62,56.311,A,17.5,Yes,No,Bachelor's,Medium,3
S1029,Maria,Brown,student29@univ.edu,Female,18,Mathematics,96.44,74.55,94.48,68.77,97.07,20.6,79.6,91.5286,B,6.4,No,Yes,,Low,6
S1030,Sara,Johnson,student30@univ.edu,Female,18,Engineering,50.63,65.2,69.41,71.68,68.11,89.3,72.99,57.6496,B,21.6,No,No,PhD,Medium,10
S1031,Liam,Jones,student31@univ.edu,Male,24,Mathematics,63.95,67.05,85.03,78.49,83.41,34.3,74.72,66.2507,D,9.1,No,No,Bachelor's,High,5
S1032,Omar,Davis,student32@univ.edu,Male,18,Business,86.0,69.31,85.49,84.53,82.3,49.6,89.65,54.6527,B,13.7,Yes,No,,Medium,8
S1033,Emma,Smith,student33@univ.edu,Female,20,CS,63.55,55.08,47.24,59.63,55.98,54.1,88.11,59.2575,B,21.7,No,No,Master's,Low,5
S1034,John,Jones,student34@univ.edu,Male,20,Mathematics,85.4,47.59,42.73,52.73,64.61,94.5,81.89,87.6396,A,24.9,No,No,PhD,Medium,6
S1035,Zeina,Smith,student35@univ.edu,Male,22,Engineering,45.62,84.19,80.6,94.61,54.35,42.2,41.79,66.29,D,8.1,Yes,Yes,None,Low,8
S1036,Fatima,Wilson,student36@univ.edu,Male,20,Mathematics,53.82,49.33,97.43,66.83,54.64,9.7,90.85,61.4633,D,18.9,Yes,No,High School,Medium,2
S1037,Jennifer,Moore,student37@univ.edu,Female,21,CS,33.21,53.67,57.36,53.99,61.64,10.1,56.68,48.9067,F,19.8,No,Yes,Master's,Medium,4
S1038,Yusuf,Wilson,student38@univ.edu,Male,20,Engineering,41.44,62.77,99.37,82.0,77.85,68.5,90.57,80.1767,B,23.7,Yes,Yes,Master's,Medium,5
S1039,Emma,Garcia,student39@univ.edu,Female,21,Mathematics,57.69,94.87,67.53,63.24,62.33,56.1,55.76,66.6383,D,18.4,No,No,Bachelor's,Low,9
S1040,Emily,Brown,student40@univ.edu,Male,19,Engineering,73.92,87.52,65.33,53.18,69.08,99.6,71.75,74.41,C,29.2,Yes,Yes,Master's,High,6
S1041,Ahmed,Moore,student41@univ.edu,Female,20,Mathematics,30.23,83.33,83.18,98.59,88.1,50.8,46.38,75.0633,C,19.5,Yes,Yes,Master's,Low,9
S1042,Karim,Martin,student42@univ.edu,Male,23,Mathematics,31.36,95.75,92.72,91.58,65.38,5.8,92.68,73.985,C,28.5,Yes,No,High School,High,3
S1043,Sara,Harris,student43@univ.edu,Male,22,Mathematics,97.51,95.73,85.32,84.49,85.65,39.9,80.3,78.565,C,12.5,No,Yes,Bachelor's,Low,2
S1044,Sarah,Williams,student44@univ.edu,Male,21,CS,34.97,77.87,53.74,95.27,92.98,7.1,54.28,63.54,D,20.7,Yes,Yes,None,Low,8
S1045,Layla,Jackson,student45@univ.edu,Male,19,CS,76.13,61.26,64.67,93.19,52.71,65.3,78.77,69.3167,D,3.7,No,Yes,Bachelor's,Low,4
S1046,Jennifer,White,student46@univ.edu,Male,24,Engineering,49.5,54.99,95.4,72.16,93.07,55.0,43.04,68.9433,D,30.0,Yes,Yes,Bachelor's,Low,7
S1047,Emily,Harris,student47@univ.edu,Male,24,CS,41.52,40.13,63.43,96.33,89.26,28.5,81.8,66.575,D,22.5,No,Yes,Bachelor's,Medium,4
S1048,Liam,Thompson,student48@univ.edu,Male,23,CS,33.51,68.61,95.16,76.56,52.84,50.8,91.08,72.5083,C,3.9,Yes,Yes,None,Low,10
S1049,John,Thompson,student49@univ.edu,Male,19,Mathematics,76.02,73.91,58.98,63.04,83.49,31.4,55.94,61.1267,D,5.7,No,No,Master's,Low,1
S1050,William,Clark,student50@univ.edu,Male,19,Engineering,65.41,47.95,60.94,53.44,62.21,28.5,66.29,53.2217,F,17.2,No,Yes,Master's,High,2
S1051,Sara,Wilson,student51@univ.edu,Male,19,Engineering,49.06,76.29,83.06,60.18,81.71,26.4,69.31,66.1583,D,27.3,Yes,Yes,None,Medium,1
S1052,Maria,Taylor,student52@univ.edu,Male,22,Engineering,81.89,73.1,65.66,50.48,53.76,88.3,94.24,70.9233,C,17.3,No,Yes,None,Low,1
S1053,David,Anderson,student53@univ.edu,Male,23,Engineering,77.74,80.02,61.22,77.99,93.74,97.4,84.97,82.5567,B,27.9,Yes,Yes,Bachelor's,Medium,1
S1054,Ali,Taylor,student54@univ.edu,Female,21,Business,41.14,82.08,62.95,51.94,73.53,20.0,95.11,64.2683,D,11.8,Yes,Yes,High School,High,4
S1055,Michael,Taylor,student55@univ.edu,Female,19,Business,54.58,70.56,80.77,92.18,66.56,2.8,92.62,67.5817,D,9.3,No,Yes,High School,High,7
S1056,Jessica,Taylor,student56@univ.edu,Female,19,Mathematics,92.97,51.4,42.66,71.8,76.0,80.7,81.21,67.295,D,28.3,Yes,No,None,Low,6
S1057,Hassan,Taylor,student57@univ.edu,Male,22,Business,76.68,59.57,81.83,77.72,59.59,66.5,62.75,67.9933,D,22.9,Yes,No,None,High,1
S1058,David,Moore,student58@univ.edu,Male,24,Business,62.55,66.53,52.82,73.66,95.06,79.6,50.18,69.6417,D,4.4,No,Yes,Bachelor's,High,5
S1059,John,Garcia,student59@univ.edu,Male,18,CS,47.14,68.51,90.98,53.64,70.72,63.0,51.67,66.42,D,21.5,No,No,Bachelor's,Low,1
S1060,Karim,Smith,student60@univ.edu,Female,21,Engineering,86.29,81.75,67.87,77.87,95.87,12.1,48.0,63.91,D,15.0,No,No,None,High,8
S1061,Ali,Harris,student61@univ.edu,Female,22,Engineering,88.79,56.64,86.66,74.23,61.96,44.0,82.81,67.7167,D,8.6,No,No,High School,Low,3
S1062,John,Thomas,student62@univ.edu,Male,21,CS,59.04,59.85,67.96,53.11,91.64,38.9,86.19,66.275,D,28.5,Yes,No,None,Low,6
S1063,David,Thomas,student63@univ.edu,Female,21,Mathematics,45.36,66.15,41.74,66.81,83.96,40.4,49.9,58.16,F,15.1,Yes,Yes,None,High,10
S1064,Yusuf,Williams,student64@univ.edu,Male,24,Engineering,90.68,50.9,55.61,66.37,72.73,33.8,92.78,62.0317,D,9.8,No,No,High School,Medium,1
S1065,Amira,Lee,student65@univ.edu,Male,23,Engineering,75.51,86.87,79.11,87.71,97.48,19.9,41.22,68.715,D,6.3,Yes,No,High School,High,4
S1066,William,Wilson,student66@univ.edu,Female,20,CS,84.45,49.83,58.66,78.93,96.44,57.6,94.48,72.6567,C,12.5,Yes,Yes,Bachelor's,Low,5
S1067,Yusuf,Clark,student67@univ.edu,Male,18,Business,67.29,79.69,44.14,82.38,50.63,42.0,69.41,61.375,D,14.1,No,No,Bachelor's,Medium,3
S1068,Amira,Martin,student68@univ.edu,Female,25,Mathematics,60.49,83.86,56.1,92.59,91.54,8.7,92.9,70.9483,C,8.8,No,No,Master's,Low,8
S1069,Sarah,Jones,student69@univ.edu,Female,21,Business,85.85,60.42,92.82,85.06,63.81,1.0,96.88,66.665,D,4.4,No,No,Bachelor's,High,8
S1070,Zeina,Harris,student70@univ.edu,Female,18,CS,50.6,64.26,54.6,83.2,68.45,55.3,60.63,64.4067,D,29.9,No,No,None,Medium,5
S1071,James,Miller,student71@univ.edu,Male,21,Business,38.37,72.15,85.73,59.26,60.82,48.4,83.48,68.3067,D,29.3,No,Yes,Bachelor's,Medium,4
S1072,Jessica,Jones,student72@univ.edu,Female,18,Engineering,49.2,98.46,73.2,84.87,56.31,86.8,69.45,78.1817,C,26.4,No,No,None,Medium,6
S1073,Ali,Davis,student73@univ.edu,Female,25,CS,87.55,64.04,44.44,81.47,52.68,14.9,73.77,55.2167,F,10.5,Yes,Yes,None,High,10
S1074,Layla,Clark,student74@univ.edu,Male,24,Mathematics,93.6,57.84,75.31,71.44,78.43,6.0,97.61,64.4383,D,4.8,Yes,Yes,Master's,High,2
S1075,Ali,Miller,student75@univ.edu,Male,19,Engineering,30.19,67.03,75.63,64.56,61.57,70.7,82.18,70.2783,C,14.7,Yes,No,Bachelor's,Medium,2
S1076,Jennifer,Miller,student76@univ.edu,Male,22,Engineering,35.0,49.96,58.46,87.45,78.46,28.9,47.46,58.4483,F,21.3,No,No,None,Medium,2
S1077,Hassan,Davis,student77@univ.edu,Female,23,Business,31.81,53.74,80.46,93.03,79.36,2.1,85.89,65.7633,D,25.0,Yes,Yes,None,High,8
S1078,James,Jones,student78@univ.edu,Female,25,CS,62.9,64.5,59.26,55.23,58.04,41.2,69.73,57.9933,F,20.6,No,Yes,None,Low,6
S1079,James,Taylor,student79@univ.edu,Male,24,CS,76.04,72.56,64.79,59.38,68.09,75.6,77.52,69.6567,D,23.3,Yes,No,Bachelor's,Medium,8
S1080,Noor,Harris,student80@univ.edu,Male,18,Engineering,79.68,58.65,40.82,70.4,61.24,84.1,46.81,60.3367,D,28.5,Yes,No,Master's,High,5
S1081,Robert,Harris,student81@univ.edu,Female,21,Mathematics,68.59,63.02,95.31,75.41,93.97,86.4,56.57,78.4467,C,24.1,No,No,Master's,Low,5
S1082,Amira,Moore,student82@univ.edu,Female,20,Mathematics,67.7,60.71,73.12,77.17,72.77,32.2,51.32,61.215,D,21.5,No,Yes,None,Low,6
S1083,Amira,Harris,student83@univ.edu,Female,24,Engineering,64.67,42.22,70.14,79.51,93.49,87.4,66.42,73.1967,C,16.7,No,Yes,Bachelor's,Medium,3
S1084,Emma,Harris,student84@univ.edu,Female,23,Mathematics,75.49,91.11,91.14,92.97,69.0,31.7,83.12,76.5067,C,23.3,Yes,Yes,Bachelor's,High,5
S1085,John,Brown,student85@univ.edu,Female,19,CS,61.06,81.64,94.21,52.3,89.81,29.3,62.49,68.2917,D,6.1,No,Yes,Bachelor's,Low,2
S1086,Hassan,Thomas,student86@univ.edu,Male,25,Engineering,46.25,78.27,67.57,83.34,94.95,46.5,57.26,71.315,C,17.3,Yes,No,Master's,High,5
S1087,Zeina,Jackson,student87@univ.edu,Female,25,Business,43.95,63.08,68.99,61.86,78.6,57.5,99.56,71.5983,C,10.3,No,No,High School,High,1
S1088,Hassan,Harris,student88@univ.edu,Female,21,Business,45.33,51.41,55.04,87.78,88.37,68.1,48.21,66.485,D,4.7,Yes,No,None,Low,10
S1089,Jessica,Johnson,student89@univ.edu,Male,22,Business,82.32,50.54,47.93,76.97,98.57,53.1,94.81,70.32,C,25.3,No,No,Master's,High,6
S1090,Layla,Smith,student90@univ.edu,Female,19,Engineering,82.79,53.54,80.58,83.72,69.87,84.6,73.44,74.2917,C,4.5,No,Yes,Master's,High,2
S1091,William,Anderson,student91@univ.edu,Female,24,Business,37.58,54.03,41.5,94.21,78.07,91.5,53.28,68.765,D,3.8,No,No,None,Low,3
S1092,Liam,Davis,student92@univ.edu,Female,25,CS,36.8,93.24,48.14,72.68,83.52,74.3,96.76,78.1067,C,13.7,Yes,No,High School,Medium,10
S1093,Robert,Wilson,student93@univ.edu,Male,23,Engineering,61.04,97.03,91.33,54.97,84.28,54.4,98.67,80.1133,B,12.0,No,No,Bachelor's,Low,8
S1094,Emma,Garcia,student94@univ.edu,Male,18,Business,47.05,47.56,73.87,53.43,88.26,20.7,52.96,56.13,F,26.4,No,Yes,High School,Medium,3
S1095,Sara,Lee,student95@univ.edu,Female,20,CS,76.27,41.55,40.89,89.5,61.9,32.4,50.45,52.7817,F,3.5,No,Yes,High School,Medium,8
S1096,Karim,Anderson,student96@univ.edu,Male,25,Engineering,96.18,42.6,86.99,93.35,76.07,45.8,97.84,73.775,C,3.7,No,No,None,High,2
S1097,Emily,White,student97@univ.edu,Male,19,Business,72.58,43.94,56.5,81.65,77.42,32.5,99.68,65.2817,D,16.9,No,No,High School,High,2
S1098,Zeina,Lee,student98@univ.edu,Male,24,Mathematics,92.17,64.83,89.65,69.94,86.48,31.3,58.75,66.825,D,9.1,Yes,No,High School,Low,2
S1099,Emma,Jackson,student99@univ.edu,Male,23,Engineering,68.95,75.19,73.7,66.48,56.11,35.4,79.92,64.4667,D,23.0,Yes,No,Master's,Medium,2
S1100,Fatima,Martin,student100@univ.edu,Male,20,Mathematics,45.7,46.49,90.72,68.38,88.13,57.4,88.43,73.2583,C,25.7,Yes,No,High School,Low,5
S1101,Noor,Moore,student101@univ.edu,Female,23,CS,42.7,48.6,79.44,53.48,87.05,97.2,45.51,68.5467,D,16.9,No,No,None,Medium,3
S1102,Jessica,Moore,student102@univ.edu,Female,19,CS,40.89,85.27,42.99,54.08,72.16,42.4,76.42,62.22,D,13.6,Yes,Yes,Master's,Medium,2
S1103,David,Thompson,student103@univ.edu,Female,22,CS,45.44,99.07,43.29,60.22,97.27,76.7,85.85,77.0667,C,10.1,Yes,Yes,None,High,7
S1104,Ali,Johnson,student104@univ.edu,Female,21,Business,35.05,91.71,42.54,50.94,96.06,86.2,74.55,73.6667,C,18.1,No,No,High School,Medium,1
S1105,Sarah,Jones,student105@univ.edu,Female,23,CS,60.57,46.35,66.14,70.02,53.93,87.1,84.75,68.0483,D,8.2,Yes,Yes,High School,High,9
S1106,Omar,Anderson,student106@univ.edu,Female,20,Engineering,37.2,55.36,50.41,57.64,87.96,7.5,97.08,59.325,F,19.6,No,No,Master's,High,6
S1107,Sara,White,student107@univ.edu,Male,25,Mathematics,74.2,87.78,75.49,67.6,53.71,46.2,42.26,62.1733,D,12.3,No,Yes,High School,High,10
S1108,Lisa,Thomas,student108@univ.edu,Female,18,Mathematics,93.63,74.3,51.29,80.25,75.07,95.8,67.03,73.9567,C,24.7,No,Yes,Bachelor's,Low,4
S1109,Noor,White,student109@univ.edu,Female,20,Business,56.1,56.97,64.53,66.92,79.89,78.9,78.84,71.0083,C,3.8,Yes,No,Master's,Medium,10
S1110,Sara,Taylor,student110@univ.edu,Male,20,Business,51.72,79.36,79.73,56.45,85.44,8.5,73.54,63.8367,D,20.0,No,Yes,High School,High,7
S1111,Lisa,Anderson,student111@univ.edu,Male,23,Business,42.62,52.85,96.86,74.31,61.33,13.8,44.63,57.2967,F,25.6,Yes,Yes,Master's,High,3
S1112,Hassan,Thomas,student112@univ.edu,Male,20,Engineering,88.19,86.27,88.54,58.28,71.88,41.1,80.58,71.1083,C,8.7,No,No,None,Low,9
S1113,John,Moore,student113@univ.edu,Female,21,Business,77.48,74.23,66.44,88.47,88.91,50.3,65.12,72.245,C,6.5,Yes,Yes,Master's,Low,8
S1114,Jessica,Lee,student114@univ.edu,Male,19,Business,35.87,49.62,66.96,75.67,91.55,9.2,94.63,64.605,D,24.9,No,Yes,None,Low,7
S1115,Lisa,Anderson,student115@univ.edu,Male,24,CS,56.24,41.69,95.85,91.96,82.5,79.1,48.26,73.2267,C,10.0,No,Yes,None,Medium,10
S1116,Maria,Brown,student116@univ.edu,Male,22,Engineering,88.45,72.93,83.63,76.39,55.56,28.8,58.07,62.5633,D,3.3,No,No,High School,Low,8
S1117,Hassan,Lee,student117@univ.edu,Male,21,Engineering,50.39,40.09,61.17,78.53,59.37,66.8,71.41,62.895,D,12.1,Yes,No,None,Low,7
S1118,Jessica,Wilson,student118@univ.edu,Male,23,CS,54.14,83.98,77.7,88.58,86.76,33.3,42.66,68.83,D,17.3,Yes,No,None,High,3
S1119,Layla,Johnson,student119@univ.edu,Male,25,CS,50.54,42.63,51.97,52.1,96.67,51.5,99.35,65.7033,D,17.2,No,Yes,Bachelor's,Medium,6
S1120,Karim,Davis,student120@univ.edu,Female,22,CS,85.95,66.22,64.0,71.99,97.82,33.9,51.21,64.19,D,21.4,No,No,High School,High,7
S1121,Emma,Jackson,student121@univ.edu,Male,22,Business,37.18,59.68,57.74,72.3,85.88,16.7,66.63,59.8217,F,14.5,No,No,Master's,High,1
S1122,Emma,Thomas,student122@univ.edu,Female,20,CS,39.99,76.45,86.88,51.74,53.36,77.9,61.98,68.0517,D,12.7,Yes,Yes,None,Medium,6
S1123,William,Brown,student123@univ.edu,Male,23,Mathematics,52.01,56.72,97.63,51.3,59.3,51.8,94.81,68.5933,D,5.3,No,No,Bachelor's,High,5
S1124,Noor,Harris,student124@univ.edu,Male,19,Engineering,89.7,67.12,93.92,72.26,54.39,68.2,90.73,74.4367,C,10.9,No,Yes,Master's,Medium,3
S1125,Noor,Jones,student125@univ.edu,Female,21,CS,98.96,87.52,54.2,74.7,68.04,57.2,68.04,68.2833,D,29.5,Yes,Yes,High School,Medium,7
S1126,Noor,Harris,student126@univ.edu,Female,24,CS,38.77,59.02,44.45,73.29,75.87,12.8,89.74,59.195,F,17.4,Yes,Yes,None,High,1
S1127,Rayan,Smith,student127@univ.edu,Male,22,Engineering,41.34,96.08,53.53,97.37,75.94,28.4,44.73,66.0083,D,7.5,No,Yes,Master's,High,9
S1128,Emma,Martin,student128@univ.edu,Male,20,Engineering,76.11,83.24,76.31,92.13,78.18,82.5,41.7,75.6767,C,3.3,No,Yes,None,High,1
S1129,Emily,Lee,student129@univ.edu,Female,22,Mathematics,47.14,88.44,64.37,72.68,84.43,15.8,64.94,65.11,D,15.0,No,Yes,Master's,High,6
S1130,Amira,Anderson,student130@univ.edu,Female,20,Business,66.05,46.37,54.5,56.13,72.48,14.1,43.04,47.77,F,28.5,No,Yes,Bachelor's,Medium,10
S1131,Amira,Taylor,student131@univ.edu,Male,20,Mathematics,99.72,68.01,92.74,74.87,54.5,39.3,67.43,66.1417,D,8.7,No,Yes,High School,Medium,8
S1132,Hassan,Harris,student132@univ.edu,Female,18,CS,60.16,92.95,83.65,88.19,68.3,40.1,74.22,74.5683,C,7.5,No,Yes,None,High,8
S1133,Karim,Lee,student133@univ.edu,Female,19,Engineering,98.26,63.63,87.69,66.95,96.95,75.5,51.94,73.7767,C,16.3,Yes,Yes,High School,Low,6
S1134,Layla,Harris,student134@univ.edu,Female,20,Engineering,52.96,76.78,49.75,99.53,86.97,29.9,60.18,67.185,D,25.2,No,No,None,Low,6
S1135,Sarah,Smith,student135@univ.edu,Female,22,CS,71.78,55.93,79.34,98.6,78.92,22.8,43.08,63.1117,D,15.5,No,Yes,Bachelor's,Low,10
S1136,Noor,Smith,student136@univ.edu,Male,18,Mathematics,51.96,49.09,81.43,70.52,88.75,92.1,92.37,79.0433,C,22.6,Yes,Yes,Bachelor's,High,6
S1137,Yusuf,Harris,student137@univ.edu,Female,23,Engineering,62.18,71.99,72.78,83.79,93.38,68.1,88.22,79.71,C,9.4,No,Yes,Bachelor's,Medium,9
S1138,David,Miller,student138@univ.edu,Female,22,Engineering,78.32,69.34,68.79,78.02,96.72,72.2,57.27,73.7233,C,18.1,No,No,Master's,Low,5
S1139,Liam,Moore,student139@univ.edu,Male,23,Mathematics,75.92,84.84,52.84,91.4,63.56,56.2,56.3,67.5233,D,5.1,Yes,Yes,High School,High,9
S1140,John,Miller,student140@univ.edu,Male,19,Mathematics,53.12,68.34,80.87,56.87,98.23,97.8,49.48,75.265,C,20.3,No,No,Bachelor's,Medium,6
S1141,David,Davis,student141@univ.edu,Male,21,CS,93.93,50.5,92.93,58.79,95.98,99.7,63.82,76.9533,C,15.9,No,Yes,High School,Medium,10
S1142,Hassan,Smith,student142@univ.edu,Female,22,Mathematics,99.24,72.6,69.63,96.93,92.55,46.8,51.57,71.68,C,5.2,Yes,No,Master's,High,3
S1143,Maria,Taylor,student143@univ.edu,Female,21,Engineering,72.77,78.32,64.33,71.39,66.4,40.1,45.72,61.0433,D,29.5,No,No,Bachelor's,Low,5
S1144,Michael,Miller,student144@univ.edu,Female,22,Business,51.14,83.37,40.69,82.68,84.64,6.2,47.09,57.445,F,10.6,No,No,High School,High,5
S1145,Jessica,Clark,student145@univ.edu,Male,21,Engineering,63.47,67.3,99.33,68.68,85.1,91.3,85.44,82.8583,B,24.5,Yes,Yes,High School,High,8
S1146,Lisa,Anderson,student146@univ.edu,Male,19,CS,88.01,94.17,52.13,76.83,58.23,85.4,66.51,72.2117,C,21.0,No,Yes,None,Low,8
S1147,Sara,Martin,student147@univ.edu,Female,25,CS,69.12,80.37,58.49,51.09,62.72,0.3,53.07,51.0067,F,4.0,No,No,High School,High,1
S1148,Emma,Harris,student148@univ.edu,Male,22,Mathematics,42.6,48.13,78.49,86.46,98.19,37.4,93.48,73.6917,C,14.6,No,No,High School,High,9
S1149,Sara,Anderson,student149@univ.edu,Male,20,Mathematics,67.02,83.67,53.36,50.17,51.14,29.8,80.41,58.0917,F,17.2,No,Yes,Bachelor's,Medium,6
S1150,Sara,Wilson,student150@univ.edu,Male,19,CS,86.66,65.15,85.96,94.19,50.78,20.6,46.05,60.455,D,2.9,Yes,Yes,High School,Medium,8
S1151,John,Lee,student151@univ.edu,Male,18,Engineering,65.27,57.36,88.95,86.58,65.95,59.8,80.35,73.165,C,11.0,No,Yes,Bachelor's,Medium,5
S1152,James,Davis,student152@univ.edu,Male,24,Mathematics,33.28,60.66,78.6,69.06,76.22,69.6,64.5,69.7733,D,10.4,Yes,No,Bachelor's,Low,5
S1153,Noor,Johnson,student153@univ.edu,Female,18,Mathematics,97.75,73.44,48.05,62.14,60.17,64.7,95.33,67.305,D,25.7,Yes,Yes,High School,Medium,7
S1154,Yusuf,Clark,student154@univ.edu,Male,19,Engineering,86.33,75.26,80.29,60.85,60.44,90.7,58.19,70.955,C,27.5,Yes,Yes,High School,High,8
S1155,John,Clark,student155@univ.edu,Male,24,Engineering,68.65,86.53,62.84,76.68,67.96,26.2,70.77,65.1633,D,15.9,Yes,No,Master's,Low,6
S1156,Sarah,Jackson,student156@univ.edu,Male,21,Engineering,31.14,73.2,75.04,86.0,64.76,19.6,53.8,62.0667,D,18.0,Yes,No,Master's,Medium,8
S1157,Amira,Harris,student157@univ.edu,Female,20,Business,41.85,83.22,69.3,95.84,77.11,64.2,43.52,72.1983,C,2.9,Yes,Yes,High School,Medium,3
S1158,Rayan,Miller,student158@univ.edu,Male,20,CS,45.31,67.36,43.63,81.89,96.7,91.3,79.56,76.74,C,2.4,No,Yes,High School,High,5
S1159,Jennifer,Moore,student159@univ.edu,Male,24,Engineering,37.49,45.78,48.93,59.6,76.32,81.5,56.04,61.3617,D,13.1,No,No,None,High,4
S1160,Noor,Miller,student160@univ.edu,Female,19,CS,36.55,62.76,73.16,52.81,50.47,17.1,69.99,54.3817,F,14.1,No,Yes,High School,Low,4
S1161,Noor,Thompson,student161@univ.edu,Female,22,CS,94.69,81.07,56.82,77.15,82.91,17.9,91.03,67.8133,D,2.4,Yes,Yes,None,Low,5
S1162,Ali,Thompson,student162@univ.edu,Male,24,Business,56.87,84.38,87.43,84.47,53.92,74.5,60.75,74.2417,C,4.7,Yes,Yes,Master's,High,10
